"coef","exp(coef)","concordance","lik_ratio_test","wald_test","log_rank_test","AIC","BIC","predictor"
-0.178912269299023,0.836179254771393,0.477272727272727,0.768049333191104,0.76527199742136,0.765028683968643,32.1218429694321,32.3190675467683,"log_peak_vl"
-0.250801051560702,0.778177173293789,0.477272727272727,0.454081723513025,0.467253762765294,0.463753493666305,31.6483819407961,31.8456065181323,"log_vl_treat"
-2.09854098607883,0.122635224287775,0.681818181818182,0.0551785935910711,0.0750990563705601,0.0581054830280127,28.5321443655531,28.7293689428893,"log_peak_gp41"
-2.08568852587822,0.124221560954944,0.704545454545455,0.0512313005021772,0.0726612841780602,0.0544843841826731,28.4081297115319,28.6053542888681,"log_gp41_treat"
0.0765414175033463,1.07954690154865,0.477272727272727,0.961301550702362,0.961270322159496,0.961269512808832,32.2064709222881,32.4036954996244,"log_peak_gp120"
-0.506798456036666,0.602421172599445,0.511363636363636,0.682576880654467,0.672878971424471,0.671854647372788,32.0415856298071,32.2388102071434,"log_gp120_treat"
-0.176210872556401,0.838441160463285,0.522727272727273,0.453789265375096,0.45886885684003,0.456097989397612,31.6476552699459,31.8448798472821,"log_RNA_copies_blood_8"
-0.232861534222309,0.792263267279163,0.590909090909091,0.28188866140846,0.292722156103007,0.284647451651388,31.0508634176252,31.2480879949614,"log_RNA_copies_blood_56"
-0.136740356850888,0.872196656621845,0.568181818181818,0.43706547462589,0.44258311940964,0.438331151260784,31.6048503689659,31.8020749463021,"log_RNA_copies_LN_8"
-0.0944517007153517,0.909871679716015,0.545454545454545,0.689157899911772,0.688903457193545,0.688087991721973,32.0488266484489,32.2460512257852,"log_RNA_copies_LN_56"
0.250018855410065,1.28404962774176,0.545454545454545,0.543187479652827,0.540408339609865,0.53964015214226,31.8391611567071,32.0363857340433,"log_RNA_copies_RB_56"
-1.09953472300822,0.333025996990553,0.772727272727273,0.0153387251800857,0.0295331564677466,0.0197474988579304,26.3316860329819,26.5289106103181,"log_point_ic50_0_weekspost_ATI"
-0.54123365682704,0.58202978427666,0.704545454545455,0.0641062550118264,0.100789617726332,0.0824917977829197,28.7809944538002,28.9782190311364,"log_point_ic50_2_weekspost_ATI"
-0.351398935428574,0.703702965806941,0.704545454545455,0.144969319400596,0.180142034163397,0.163804895572573,30.0844228104563,30.2816473877925,"log_point_ic50_4_weekspost_ATI"
-3.17770758826862,0.0416810959178346,0.75,0.0173910998201609,0.069181394401402,0.0368107273099043,26.5523560056397,26.7495805829759,"log_point_ic50_8_weekspost_ATI"
-17.0740138144679,3.84458986237155e-08,0.795454545454545,0.00238056123762659,0.0145234235025884,0.00649156285190339,22.9786288438546,23.1758534211908,"pos_auc_0_weeks_post_ATI"
-4.72804180470929,0.00884377192748041,0.647727272727273,0.0721112292098108,0.120004978494246,0.0979027670362515,28.9745277647511,29.1717523420873,"pos_auc_2_weeks_post_ATI"
-3.52868953420117,0.0293433441309854,0.681818181818182,0.125279176895986,0.169215630819797,0.150265450992474,29.8587774831389,30.0560020604751,"pos_auc_4_weeks_post_ATI"
-7.74169209213254,0.000434336016381495,0.636363636363636,0.164965844530192,0.191348241783905,0.179051130551638,30.2807194883689,30.4779440657051,"pos_auc_8_weeks_post_ATI"
