"coef","exp(coef)","concordance","lik_ratio_test","wald_test","log_rank_test","AIC","BIC","predictor"
-0.178912269299023,0.836179254771393,0.477272727272727,0.768049333191104,0.76527199742136,0.765028683968643,32.1218429694321,32.3190675467683,"log_peak_vl"
-0.250801051560702,0.778177173293789,0.477272727272727,0.454081723513025,0.467253762765294,0.463753493666305,31.6483819407961,31.8456065181323,"log_vl_treat"
-2.09854098607883,0.122635224287775,0.681818181818182,0.0551785935910711,0.0750990563705601,0.0581054830280127,28.5321443655531,28.7293689428893,"log_peak_gp41"
-2.08568852587822,0.124221560954944,0.704545454545455,0.0512313005021772,0.0726612841780602,0.0544843841826731,28.4081297115319,28.6053542888681,"log_gp41_treat"
0.0765414175033463,1.07954690154865,0.477272727272727,0.961301550702362,0.961270322159496,0.961269512808832,32.2064709222881,32.4036954996244,"log_peak_gp120"
-0.506798456036666,0.602421172599445,0.511363636363636,0.682576880654467,0.672878971424471,0.671854647372788,32.0415856298071,32.2388102071434,"log_gp120_treat"
-0.176210872556401,0.838441160463285,0.522727272727273,0.453789265375096,0.45886885684003,0.456097989397612,31.6476552699459,31.8448798472821,"log_RNA_copies_blood_8"
-0.232861534222309,0.792263267279163,0.590909090909091,0.28188866140846,0.292722156103007,0.284647451651388,31.0508634176252,31.2480879949614,"log_RNA_copies_blood_56"
-0.136740356850888,0.872196656621845,0.568181818181818,0.43706547462589,0.44258311940964,0.438331151260784,31.6048503689659,31.8020749463021,"log_RNA_copies_LN_8"
-0.0944517007153517,0.909871679716015,0.545454545454545,0.689157899911772,0.688903457193545,0.688087991721973,32.0488266484489,32.2460512257852,"log_RNA_copies_LN_56"
0.250018855410065,1.28404962774176,0.545454545454545,0.543187479652827,0.540408339609865,0.53964015214226,31.8391611567071,32.0363857340433,"log_RNA_copies_RB_56"
-1.09953472300822,0.333025996990553,0.772727272727273,0.0153387251800857,0.0295331564677466,0.0197474988579304,26.3316860329819,26.5289106103181,"log_point_ic50_0_weekspost_ATI"
-0.54123365682704,0.58202978427666,0.704545454545455,0.0641062550118264,0.100789617726332,0.0824917977829197,28.7809944538002,28.9782190311364,"log_point_ic50_2_weekspost_ATI"
-0.351398935428574,0.703702965806941,0.704545454545455,0.144969319400596,0.180142034163397,0.163804895572573,30.0844228104563,30.2816473877925,"log_point_ic50_4_weekspost_ATI"
-3.17770758826862,0.0416810959178346,0.75,0.0173910998201609,0.069181394401402,0.0368107273099043,26.5523560056397,26.7495805829759,"log_point_ic50_8_weekspost_ATI"
-17.0740138144679,3.84458986237155e-08,0.795454545454545,0.00238056123762659,0.0145234235025884,0.00649156285190339,22.9786288438546,23.1758534211908,"pos_auc_0_weeks_post_ATI"
-4.72804180470929,0.00884377192748041,0.647727272727273,0.0721112292098108,0.120004978494246,0.0979027670362515,28.9745277647511,29.1717523420873,"pos_auc_2_weeks_post_ATI"
-3.52868953420117,0.0293433441309854,0.681818181818182,0.125279176895986,0.169215630819797,0.150265450992474,29.8587774831389,30.0560020604751,"pos_auc_4_weeks_post_ATI"
-7.74169209213254,0.000434336016381495,0.636363636363636,0.164965844530192,0.191348241783905,0.179051130551638,30.2807194883689,30.4779440657051,"pos_auc_8_weeks_post_ATI"
-0.251868615490747,0.777346862696077,0.454545454545455,0.672066451891751,0.669136254385123,0.668616043013229,32.0296307177165,32.2268552950528,"log_peak_vl_2"
-0.128722717785327,0.879217723186657,0.477272727272727,0.407701741484355,0.425819871750768,0.420356632854334,31.5233324947061,31.7205570720423,"log_DNA_copies_Blood_8"
-0.360064880816505,0.697631061729749,0.477272727272727,0.269420710500071,0.297407895382898,0.289964448352592,30.9891311334424,31.1863557107786,"log_DNA_copies_Blood_16"
0.103079847220494,1.10857992256769,0.568181818181818,0.809925621496461,0.808761790004641,0.80863150709142,32.1509743206625,32.3481988979988,"log_DNA_copies_Blood_36"
-0.0714146412333941,0.931075749680603,0.386363636363636,0.769356123386198,0.771348977447425,0.771024506738515,32.1228488086439,32.3200733859802,"log_DNA_copies_Blood_56"
-0.111368781713048,0.894608772732461,0.545454545454545,0.597749448216275,0.597022139701395,0.596259290569741,31.9304215163788,32.127646093715,"log_DNA_copies_LN_8"
-0.240437765097029,0.786283578207636,0.545454545454545,0.335860073236036,0.351990985936988,0.344762886092491,31.2826549295068,31.479879506843,"log_DNA_copies_LN_36"
-0.0425950103293188,0.958299412852742,0.5,0.817035922350953,0.816300096591993,0.816200685008345,32.1552981640245,32.3525227413608,"log_DNA_copies_LN_56"
0.0788273441245453,1.08201748926502,0.522727272727273,0.781850784719452,0.781064091788653,0.780864210213306,32.1321471310162,32.3293717083524,"log_DNA_copies_RB_16"
-0.617818181204578,0.539119416208616,0.568181818181818,0.258552592492864,0.26002355649335,0.253202129058443,30.9323346668796,31.1295592442158,"log_DNA_copies_RB_36"
-0.145445644844593,0.864636886269023,0.454545454545455,0.768677259459028,0.76716465593804,0.766967220869656,32.1223270788479,32.3195516561842,"log_DNA_copies_RB_56"
